Sun,1.99E+30,0,0
Mercury,3.30E+23,4.74E+04,5.86E+10
Venus,4.87E+24,3.50E+04,1.08E+11
Earth,5.97E+24,2.98E+04,1.50E+11
Mars,6.42E+23,2.40E+04,2.28E+11
Jupiter,1.90E+27,1.31E+04,7.79E+11
